# Next Gen Visuals 2.0
#
# stores intial values for configuration of in game elements
#Name	Value
#Values to use with height based reflection map
emissive.night.start.time		20
emissive.night.end.time			6


misc.DOFBlurMultiplier.HD	1
misc.DOFBlurMultiplier.SD	0.5
misc.Multiplier.heightStart	100.0
misc.Multiplier.heightEnd	250.0
misc.Multiplier.farClipMultiplier	1.0
misc.Multiplier.nearFogMultiplier	1.0
misc.3dMarkers.FrontLightIntensity	10.0
misc.3dMarkers.frontLightExponent	32.0


misc.coronas.sizeScaleGlobal 1.4
misc.coronas.intensityScaleGlobal 1.7
misc.coronas.intensityScaleWater 0.5
misc.coronas.sizeScaleWater 0.5
misc.coronas.sizeScaleParaboloid 2
misc.coronas.screenspaceExpansion 0
misc.coronas.screenspaceExpansionWater 0
misc.coronas.zBiasMultiplier 10
misc.coronas.zBiasDistanceNear 15
misc.coronas.zBiasDistanceFar 20
misc.coronas.zBias.fromFinalSizeMultiplier 0.1
misc.coronas.occlusionSizeScale 0.5
misc.coronas.occlusionSizeMax 32
misc.coronas.flareCoronaSizeRatio 0.1
misc.coronas.flareMinAngleDegToFadeIn 50
misc.coronas.flareScreenCenterOffsetSizeMult 100
misc.coronas.flareColShiftR 0
misc.coronas.flareColShiftG 0
misc.coronas.flareColShiftB 0.007
misc.coronas.baseValueR 0
misc.coronas.baseValueG 0
misc.coronas.baseValueB 0
misc.coronas.zBias.min 0
misc.coronas.zBias.max 0.5
misc.coronas.zBias.additionalBias.WaterReflection 5
misc.coronas.zBias.additionalBias.EnvReflection 0
misc.coronas.zBias.additionalBias.MirrorReflection 2
misc.coronas.dir.mult.fadeoff.start -10
misc.coronas.dir.mult.fadeoff.dist 70
misc.coronas.flareScreenCenterOffsetVerticalSizeMult 0
misc.coronas.underwaterFadeDist 4
misc.coronas.m_doNGCoronas 0
misc.coronas.m_rotationSpeed 0.02
misc.coronas.m_rotationSpeedRampedUp 0
misc.coronas.m_layer1Muliplier 0.3
misc.coronas.m_layer2Muliplier 0.05
misc.coronas.m_scaleRampUp 1
misc.coronas.m_scaleRampUpAngle 20
misc.coronas.flareScreenCenterOffsetVerticalSizeMult 0.95
misc.coronas.screenEdgeMinDistForFade 0.95
misc.BloomIntensityClamp.HD 10
misc.BloomIntensityClamp.SD 10
misc.CrossPMultiplier.RimLight 1
misc.CrossPMultiplier.GlobalEnvironmentReflection 1
misc.CrossPMultiplier.Gamma 1
misc.CrossPMultiplier.MidBlur 1
misc.CrossPMultiplier.Farblur 1
misc.CrossPMultiplier.SkyMultiplier 1
misc.CrossPMultiplier.Desaturation 1
misc.HiDof.nearBlur 1
misc.HiDof.midBlur 0.2
misc.HiDof.farBlur 1
misc.cutscene.nearBlurMin 0.2
misc.PedKillOverlay.duration 750.0
	
misc.DamageOverlay.RampUpDuration 			75
misc.DamageOverlay.HoldDuration				400
misc.DamageOverlay.RampDownDuration 		200
misc.DamageOverlay.ColorBottom.red 			0.80
misc.DamageOverlay.ColorBottom.green 		0.15
misc.DamageOverlay.ColorBottom.blue 		0.15
misc.DamageOverlay.ColorTop.red 			0.60
misc.DamageOverlay.ColorTop.green 			0.08
misc.DamageOverlay.ColorTop.blue 			0.08
misc.DamageOverlay.GlobalAlphaBottom		0.20
misc.DamageOverlay.GlobalAlphaTop			0.40
misc.DamageOverlay.SpriteLength 			0.30
misc.DamageOverlay.SpriteBaseWidth 			0.20
misc.DamageOverlay.SpriteTipWidth 			0.10
misc.DamageOverlay.HorizontalFadeSoftness 	1.00
misc.DamageOverlay.VerticalFadeOffset		0.50
misc.DamageOverlay.AngleScalingMult 		0.00

misc.DamageOverlay.FP.RampUpDuration 			75
misc.DamageOverlay.FP.HoldDuration			400
misc.DamageOverlay.FP.RampDownDuration 			200
misc.DamageOverlay.FP.ColorBottom.red 			0.80
misc.DamageOverlay.FP.ColorBottom.green 		0.15
misc.DamageOverlay.FP.ColorBottom.blue 			0.15
misc.DamageOverlay.FP.ColorTop.red 			0.60
misc.DamageOverlay.FP.ColorTop.green 			0.08
misc.DamageOverlay.FP.ColorTop.blue 			0.08
misc.DamageOverlay.FP.GlobalAlphaBottom			0.20
misc.DamageOverlay.FP.GlobalAlphaTop			0.45
misc.DamageOverlay.FP.SpriteLength 			0.40
misc.DamageOverlay.FP.SpriteBaseWidth 			0.27
misc.DamageOverlay.FP.SpriteTipWidth 			0.10
misc.DamageOverlay.FP.HorizontalFadeSoftness 	1.00
misc.DamageOverlay.FP.VerticalFadeOffset		0.50
misc.DamageOverlay.FP.AngleScalingMult 			0.00

misc.DamageOverlay.ScreenSafeZoneLength		0.45

misc.SniperRifleDof.Enabled		0
misc.SniperRifleDof.NearStart 	0.0
misc.SniperRifleDof.NearEnd 	0.0
misc.SniperRifleDof.FarStart 	5000.0
misc.SniperRifleDof.FarEnd 		5000.0

misc.MoonDimMult				0.3

misc.NextGenModifier			1.0


seeThrough.PedQuadSize 0.35
seeThrough.PedQuadStartDistance 0
seeThrough.PedQuadEndDistance 1500
seeThrough.PedQuadScale 12
seeThrough.FadeStartDistance 50
seeThrough.FadeEndDistance 1100
seeThrough.MaxThickness 10000
seeThrough.MinNoiseAmount 0.0
seeThrough.MaxNoiseAmount 0.0
seeThrough.HiLightIntensity 0.5
seeThrough.HiLightNoise 0.5
seeThrough.ColorNear.red 0.06
seeThrough.ColorNear.green 0.02
seeThrough.ColorNear.blue 0.14
seeThrough.ColorFar.red 0.03
seeThrough.ColorFar.green 0.05
seeThrough.ColorFar.blue 0.16
seeThrough.ColorVisibleBase.red 0.78
seeThrough.ColorVisibleBase.green 0.0
seeThrough.ColorVisibleBase.blue 0.0
seeThrough.ColorVisibleWarm.red 0.85
seeThrough.ColorVisibleWarm.green 0.65
seeThrough.ColorVisibleWarm.blue 0.0
seeThrough.ColorVisibleHot.red 0.95
seeThrough.ColorVisibleHot.green 0.99
seeThrough.ColorVisibleHot.blue 1.0

Tonemapping.bright.filmic.A 0.20
Tonemapping.bright.filmic.B 0.52
Tonemapping.bright.filmic.C 0.12
Tonemapping.bright.filmic.D 0.22
Tonemapping.bright.filmic.E 0.017
Tonemapping.bright.filmic.F 0.32
Tonemapping.bright.filmic.W 4.20
Tonemapping.bright.filmic.exposure -0.5
Tonemapping.dark.filmic.A 0.21
Tonemapping.dark.filmic.B 0.32
Tonemapping.dark.filmic.C 0.15
Tonemapping.dark.filmic.D 0.21
Tonemapping.dark.filmic.E 0.00
Tonemapping.dark.filmic.F 0.32
Tonemapping.dark.filmic.W 4.00
Tonemapping.dark.filmic.exposure 3.0

Exposure.curve.scale -106.1
Exposure.curve.power 0.007
Exposure.curve.offset 104.8


Adaptation.min.step.size 	0.16
Adaptation.max.step.size 	3.0
Adaptation.step.size.mult 	1.7
Adaptation.threshold 		0.0
Adaptation.sun.exposure.tweak	0.0


cloudgen.frequency 				2.0
cloudgen.scale					50.0
cloudgen.edge.detail.scale		9.0
cloudgen.overlay.detail.scale	5.0


cloud.speed.large	5.0
cloud.speed.small	1.0
cloud.speed.overall	1.0
cloud.speed.edge	1.0
cloud.speed.hats	1.0


lod.fadedist.orphanhd 20.0
lod.fadedist.hd 20.0
lod.fadedist.lod 20.0
lod.fadedist.slod1 20.0
lod.fadedist.slod2 25.0
lod.fadedist.slod3 25.0
lod.fadedist.slod4 25.0


skyplane.offset		512.0
skyplane.fog.fade.start	64.0
skyplane.fog.fade.end	128.0


rim.lighting.width.start					0.3
rim.lighting.width.end						0.9
rim.lighting.transition.angle				0.0
rim.lighting.downmask.angle					0.3
rim.lighting.main.colour.intensity			1.0
rim.lighting.offangle.colour.intensity		0.3


reflection.tweaks.interior.artificial.boost	3.0
reflection.tweaks.exterior.artificial.boost	6.0
reflection.tweaks.emissive.boost			8.0


lights.cutoff.distance					800.0
lights.cutoff.shadow.distance			800.0
lights.cutoff.specular.distance			800.0
lights.cutoff.volumetric.distance		800.0
lights.cutoff.nonGbuf.distance			75.0
lights.cutoff.map.distance				800.0


bloom.threshold.min			0.4
bloom.threshold.expsoure.diff.min	0.0
bloom.threshold.expsoure.diff.max	0.0
bloom.threshold.power			1.2

bloom.blurblendmult.large		2.0
bloom.blurblendmult.med			1.5
bloom.blurblendmult.small		0.4


dynamic.bake.start.min			0.9
dynamic.bake.start.max			1.9

dynamic.bake.end.min			0.3
dynamic.bake.end.max			1.3


UI.minimap.alpha				0.6


puddles.scale 					0.023
puddles.range 					0.15
puddles.depth					0.9
puddles.depthtest				0.200
puddles.strength				1.5
puddles.animspeed				25.0
puddles.ripples.minsize			0.0075
puddles.ripples.maxsize			0.0150
puddles.ripples.speed			11
puddles.ripples.minduration		2.0
puddles.ripples.maxduration		5.0
puddles.ripples.dropfactor		0.8
puddles.ripples.windstrength	0.0015
puddles.ripples.ripplestrength	0.70
puddles.ripples.winddamping		0.02
puddles.ripples.playerspeed		40.0
puddles.ripples.playermapsize	8


lodlight.small.range			300.0
lodlight.medium.range			750.0
lodlight.large.range			2500.0

lodlight.small.fade				50.0
lodlight.medium.fade			100.0
lodlight.large.fade				50.0

lodlight.small.corona.range		350.0
lodlight.medium.corona.range	180.0
lodlight.large.corona.range		1250.0

lodlight.corona.size			2.0

lodlight.sphere.expand.size.mult	2.5
lodlight.sphere.expand.start		50.0
lodlight.sphere.expand.end			500.0


misc.brightlight.distculled.FadeStart	220.0
misc.brightlight.distculled.FadeEnd	220.0
misc.brightlight.notdistculled.FadeStart	220.0
misc.brightlight.notdistculled.FadeEnd	240.0
misc.brightlight.globalIntensity	12.0
misc.brightlight.railwayItensity	2.5
misc.brightlight.coronaZBias	1.0


vehicle.lights.sunrise			6.0
vehicle.lights.sunset			20.0


vehicle.lights.fadeDistance.main	350.0
vehicle.lights.fadeDistance.secondary	280.0
vehicle.lights.fadeDistance.sirens	360.0
vehicle.lights.fadeDistance.AO	350.0
vehicle.lights.fadeDistance.neon	260.0
vehicle.lights.fadeLength	40.0


particles.shadowintensity		1.0


dark.light.color.red	0.60
dark.light.color.green	1.00
dark.light.color.blue	0.60
dark.light.intensity	0.1
dark.light.radius	50.0
dark.light.falloffExp 128.0
dark.light.innerConeAngle	0.00
dark.light.outerConeAngle	40.00
dark.light.coronaHDR 1.00
dark.light.coronaSize 1.00
dark.light.offset.x	0.20
dark.light.offset.y	0.00
dark.light.offset.z	0.10
dark.fpv.light.offset.x	0.20
dark.fpv.light.offset.y	0.00
dark.fpv.light.offset.z	0.10
dark.useSpec 1.0
dark.useNormal 1.0
dark.useShadows 1.0
dark.useVolumes 1.0
dark.shadowNearCLip 0.2
dark.shadowBlur 8.0
dark.volumeIntensity 0.1
dark.volumeSize 0.05
dark.volumeExponent 0.0
dark.volumeColor.x 0.6
dark.volumeColor.y 1.0
dark.volumeColor.z 0.6
dark.volumeColor.w 1.0
dark.lightDirBase 0.5


dark.secLight.enable 1.00
dark.secLight.color.red	0.60
dark.secLight.color.green	1.00
dark.secLight.color.blue	0.60
dark.secLight.intensity	0.10
dark.secLight.radius	0.5
dark.secLight.falloffExp 32.0
dark.secLight.innerConeAngle	0.00
dark.secLight.outerConeAngle	90.00
dark.secLight.coronaHDR 1.00
dark.secLight.coronaSize 1.00
dark.secLight.offset.x	0.00
dark.secLight.offset.y	0.00
dark.secLight.offset.z	0.00
dark.secLight.useSpec 1.00
dark.secLight.lightDirBase 0.5


ped.light.direction.x			-0.825
ped.light.direction.y			 0.565
ped.light.direction.z			 0.000

ped.light.fade.day.start		5.99
ped.light.fade.day.end			6.1

ped.light.fade.night.start		19.99
ped.light.fade.night.end		20.1


ped.phonelight.color.r			1.0
ped.phonelight.color.g			1.0
ped.phonelight.color.b			1.0
ped.phonelight.intensity		6.0
ped.phonelight.radius			0.8
ped.phonelight.falloffexp		85.0
ped.phonelight.cone.inner		0.0
ped.phonelight.cone.outer		90.0


adaptivedof.range.verynear			5
adaptivedof.range.near				20
adaptivedof.range.mid					1000
adaptivedof.range.far					3000
adaptivedof.range.veryfar				10000

adaptivedof.day.verynear.nearout		-0.5
adaptivedof.day.verynear.nearin		1.0
adaptivedof.day.verynear.farin		-10.0
adaptivedof.day.verynear.farout		300.0

adaptivedof.day.near.nearout			-1.0
adaptivedof.day.near.nearin			2.0
adaptivedof.day.near.farin			-800.0
adaptivedof.day.near.farout			8000.0

adaptivedof.day.mid.nearout			-2.0
adaptivedof.day.mid.nearin			2.5
adaptivedof.day.mid.farin				-1000.0
adaptivedof.day.mid.farout			25000.0

adaptivedof.day.far.nearout			0.0
adaptivedof.day.far.nearin			4.0
adaptivedof.day.far.farin				5000.0
adaptivedof.day.far.farout			25000.0

adaptivedof.day.veryfar.nearout		-6.0
adaptivedof.day.veryfar.nearin		15.5
adaptivedof.day.veryfar.farin		13000.0
adaptivedof.day.veryfar.farout		25000.0

adaptivedof.night.verynear.nearout	-0.5
adaptivedof.night.verynear.nearin		1.05
adaptivedof.night.verynear.farin		-25.0
adaptivedof.night.verynear.farout		300.0

adaptivedof.night.near.nearout		-1.0
adaptivedof.night.near.nearin			1.0
adaptivedof.night.near.farin			-200.0
adaptivedof.night.near.farout			2500.0

adaptivedof.night.mid.nearout			-0.5
adaptivedof.night.mid.nearin			2.0
adaptivedof.night.mid.farin			-1000.0
adaptivedof.night.mid.farout			15000.0

adaptivedof.night.far.nearout			0.0
adaptivedof.night.far.nearin			4.0
adaptivedof.night.far.farin			5000.0
adaptivedof.night.far.farout			25000.0

adaptivedof.night.veryfar.nearout		0.0
adaptivedof.night.veryfar.nearin		15.5
adaptivedof.night.veryfar.farin		10000.0
adaptivedof.night.veryfar.farout		25000.0

adaptivedof.missedrayvalue			10000
adaptivedof.gridsize					15
adaptivedof.gridscalex				0.3
adaptivedof.gridscaley				0.5
adaptivedof.gridscalexincover				0.1

adaptivedof.gridscaleyincover				0.2
adaptivedof.gridscalexaiming			0.01
adaptivedof.gridscaleyaiming			0.01
adaptivedof.gridscalexrungun			0.02
adaptivedof.gridscaleyrungun			0.03
adaptivedof.smoothtime				0.75
adaptivedof.nearplayeradjust			4.5

adaptivedof.meleefocal.nearout		1.0
adaptivedof.meleefocal.nearin			1.0
adaptivedof.meleefocal.farin			1.0
adaptivedof.meleefocal.farout			1.0

adaptivedof.aimingfocal.nearout		1.0
adaptivedof.aimingfocal.nearin		1.0
adaptivedof.aimingfocal.farin			1.0
adaptivedof.aimingfocal.farout		1.0

adaptivedof.rungunfocal.nearout		1.0
adaptivedof.rungunfocal.nearin		1.0
adaptivedof.rungunfocal.farin			1.0
adaptivedof.rungunfocal.farout		1.0

adaptivedof.incoverfocal.nearout			1.0
adaptivedof.incoverfocal.nearin				1.0
adaptivedof.incoverfocal.farin				1.0
adaptivedof.incoverfocal.farout				1.0

adaptivedof.exposureDay				-2.0
adaptivedof.exposureNight				1.0

adaptivedof.exposureMin				-2.5
adaptivedof.exposureMax				2.5

bokeh.brightnessThresholdMin			4.0
bokeh.brightnessThresholdMax			3.0
bokeh.brightnessExposureMin			-3.0
bokeh.brightnessExposureMax			1.0
bokeh.cocThreshold				0.1
bokeh.fadeRangeMin				1.32
bokeh.fadeRangeMax				0.06
bokeh.sizeMultiplier				1.0
bokeh.globalAlpha					2.0
bokeh.alphaCutoff					0.05
bokeh.shapeExposureRangeMin				-3.0
bokeh.shapeExposureRangeMax				1.0

defaultmotionblur.enabled				1
defaultmotionblur.strength			0.1

procObjects.minRadiusForHeightMap			0.4


fogray.fadestart	0.0
fogray.fadeend	1.0


lensflare.switch.length	990
lensflare.hide.length	495
lensflare.show.length	264
lensflare.desaturation.boost 1.6


fpv.motionblur.weight0 1.0
fpv.motionblur.weight1 0.0
fpv.motionblur.weight2 0.8
fpv.motionblur.weight3 1.0
fpv.motionblur.max.velocity 82.0
